"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="1101","台泥","33.55","0.63","0.49","0.23","0.58"
="1102","亞泥","26.55","0.3","0.51","0.08","0.51"
="1103","嘉泥","12.2","0.21","0.23","-0.17","0.02"
="1104","環泥","23.5","0.56","0.77","0.45","0.6"
="1108","幸福","8.68","0.2","0.1","0.05","0.02"
="1109","信大","12.7","0.08","0.2","0.09","0.33"
="1110","東泥","14.25","-0.02","-0.03","0.04","-0.05"
="1201","味全","19.65","-0.03","-0.64","0.09","0.01"
="1203","味王","24.95","0.47","0.52","0.37","0.48"
="1210","大成","34.95","0.83","0.68","0.74","0.55"
="1213","大飲","15.3","0.12","-0.07","0.09","-0.1"
="1215","卜蜂","64.3","1.13","1.55","1.53","1.17"
="1216","統一","63.4","0.73","0.23","0.79","0.83"
="1217","愛之味","7.54","0.06","0.34","-0.05","-0.07"
="1218","泰山","17.95","0.42","-0.45","0","-0.01"
="1219","福壽","17.8","0.12","0.11","0.11","-0.02"
="1220","台榮","10.3","0.23","0.21","0.05","0.13"
="1225","福懋油","65","0.38","0.51","0.37","0.33"
="1227","佳格","74.4","0.7","0.81","0.68","0.24"
="1229","聯華","32.1","0.78","0.56","0.5","0.68"
="1231","聯華食","33.4","0.76","1.01","0.47","0.46"
="1232","大統益","91.2","1.19","1.61","1.06","1.26"
="1233","天仁","34.5","0.34","0.5","0.5","0.44"
="1234","黑松","31.1","0.59","0.26","0.22","0.18"
="1235","興泰","33.25","2.17","-0.73","0.66","1.1"
="1236","宏亞","16.85","0.15","0.61","-0.07","-0.31"
="1256","鮮活果汁-KY","144","3.45","0.77","1.59","3.52"
="1258","其祥-KY","32.45","1.3","0.42","0.74","0.51"
="1259","安心","83.7","1.71","0.62","1.2","1.53"
="1262","綠悅-KY","72.5","2.98","3.6","3.31","1.09"
="1264","德麥","222.5","3.54","4.16","3.64","3.29"
="1268","漢來美食","160.5","","","2.4","1.67"
="1301","台塑","92.1","1.79","1.89","1.55","1.53"
="1303","南亞","74.6","1.06","3.37","1.37","1.14"
="1304","台聚","15.55","0.26","0.2","0.29","0.21"
="1305","華夏","27.6","0.6","1.21","0.79","0.51"
="1307","三芳","34.95","0.76","0.77","0.84","0.63"
="1308","亞聚","19.4","0.3","0.44","0.3","0.34"
="1309","台達化","11.65","-0.14","0.31","0.28","-0.2"
="1310","台苯","21.15","0.76","0.71","0.83","0.19"
="1312","國喬","25.95","0.63","1.02","0.86","0.22"
"1312A","國喬特","29.9","","","",""
="1313","聯成","17.05","0.23","0.44","0.27","0.21"
="1314","中石化","13.65","-0.01","-0.19","0.57","1.28"
="1315","達新","25.7","0.9","0.47","0","0.03"
="1316","上曜","25.85","-0.2","-0.15","-0.33","-0.33"
="1319","東陽","58.5","0.94","1.24","0.86","0.99"
="1321","大洋","28.7","0.15","-0.32","-0.32","-0.18"
="1323","永裕","33","0.95","0.71","0.51","0.64"
="1324","地球","13.3","0.14","0.2","1.02","-0.2"
="1325","恆大","19.1","0.1","0.37","0.02","0.14"
="1326","台化","93.4","2.56","1.51","2","1.45"
="1333","恩得利","3.95","-0.05","0.25","-0.28","-0.61"
="1336","台翰","18.7","-0.66","-0.13","0.14","0.53"
="1337","再生-KY","13","0.51","0.06","0.25","0.24"
="1338","廣華-KY","115","1.76","2.46","2.2","2.08"
="1339","昭輝","43.7","0.26","2.44","-0.22","1.52"
="1340","勝悅-KY","48.35","2.18","1.62","0.81","2.13"
="1402","遠東新","25.7","0.27","0.48","0.26","0.31"
