"排名","代號 ▲","名稱","成交","漲跌價","漲跌幅","平均增減(元)","2005增減(元)","2006增減(元)","2007增減(元)","2008增減(元)","2009增減(元)","2010增減(元)","2011增減(元)","2012增減(元)","2013增減(元)","2014增減(元)","2015增減(元)","2016增減(元)","17Q2增減(元)","17Q3增減(元)"
"902",="0050","元大台灣50","84.55","+0.15","+0.18%","","","","","","","","","","","","","","",""
"1013",="0051","元大中型100","32","+0.13","+0.41%","","","","","","","","","","","","","","",""
"970",="0052","富邦科技","56.8","+0.5","+0.89%","","","","","","","","","","","","","","",""
"943",="0053","元大電子","38.08","-0.44","-1.14%","","","","","","","","","","","","","","",""
"906",="0054","元大台商50","24.87","-0.41","-1.62%","","","","","","","","","","","","","","",""
"916",="0055","元大MSCI金融","16.1","+0.01","+0.06%","","","","","","","","","","","","","","",""
"710",="0056","元大高股息","25.29","-0.12","-0.47%","","","","","","","","","","","","","","",""
"800",="0057","富邦摩台","50.85","0","0%","","","","","","","","","","","","","","",""
"984",="006201","元大富櫃50","14.48","+0.04","+0.28%","","","","","","","","","","","","","","",""
"955",="006203","元大MSCI台灣","39.07","-0.38","-0.96%","","","","","","","","","","","","","","",""
"833",="006204","永豐臺灣加權","53.75","0","0%","","","","","","","","","","","","","","",""
"1045",="006208","富邦台50","49.66","-0.15","-0.3%","","","","","","","","","","","","","","",""
"1060","00679B","元大美債20年","39.25","-0.17","-0.43%","","","","","","","","","","","","","","",""
"1173","00687B","國泰20年美債","40.63","-0.23","-0.56%","","","","","","","","","","","","","","",""
"1234",="00692","富邦公司治理","21.99","-0.02","-0.09%","","","","","","","","","","","","","","",""
"1211","00710B","FH彭博高收益債","20","-0.03","-0.15%","","","","","","","","","","","","","","",""
"1223","00711B","FH彭博新興債","20.23","0","0%","","","","","","","","","","","","","","",""
"1180",="00712","FH富時不動產","19.02","-0.06","-0.31%","","","","","","","","","","","","","","",""
"755","01001T","土銀富邦R1","12.6","0","0%","","","","","","","","","","","","","","",""
"758","01002T","土銀國泰R1","13.08","+0.03","+0.23%","","","","","","","","","","","","","","",""
"952","01003T","兆豐新光R1","14.36","0","0%","","","","","","","","","","","","","","",""
"1103","01004T","土銀富邦R2","11.34","+0.09","+0.8%","","","","","","","","","","","","","","",""
"1097","01007T","兆豐國泰R2","13.13","0","0%","","","","","","","","","","","","","","",""
"589",="1101","台泥","33.55","+0.05","+0.15%","+0.01","+0.38","+0.23","+0.35","-0.8","+0.51","+0.17","-0.1","-0.24","+0.63","+0.21","-1.37","+0.16","+0.21",""
"787",="1102","亞泥","26.55","-0.15","-0.56%","-0.14","-0.15","+0.03","+0.84","-1.17","+0.12","-0.14","+0.69","-1.26","+0.28","+0.77","-1.43","-0.29","+0.14",""
"1104",="1103","嘉泥","12.2","+0.1","+0.83%","-0.06","-0.32","+4.83","-3.47","-1.41","+0.33","-0.11","-0.35","-1.39","+3.1","-1.94","+0.31","-0.3","+0.24",""
"237",="1104","環泥","23.5","0","0%","+0.11","-0.05","-0.02","-0.53","-0.63","+1.06","+0.84","-1.34","+0.53","+0.66","+0.42","-0.04","+0.46","-0.31",""
"175",="1108","幸福","8.68","+0.05","+0.58%","+0.03","+0.11","+0.12","-0.36","-0.39","+0.34","-0.73","+0.12","+0.78","+0.01","+0.5","+0.22","-0.38","-0.41",""
"1196",="1109","信大","12.7","0","0%","-0.02","+0.15","+0.7","-0.92","-0.14","-0.18","-0.3","+0.21","+0.04","+0.44","+0.02","-0.63","+0.38","+0.28",""
"1204",="1110","東泥","14.25","+0.25","+1.79%","-0.01","+0.19","-0.37","+0.35","-0.46","+0.15","-0.07","-0.05","+0.08","+0.14","-0.01","0","-0.06","-0.25",""
"1236",="1201","味全","19.65","+0.3","+1.55%","+0.03","+2.49","+0.3","0","+0.15","+0.31","+1.88","-1.88","+0.14","+0.23","-2.2","-3.3","+2.25","+0.96",""
"664",="1203","味王","24.95","+0.15","+0.6%","+0.06","-1.37","-0.3","+0.79","+3.12","-1.17","-1.58","-0.32","+0.25","+0.69","+0.01","0","+0.66","+0.06",""
"598",="1210","大成","34.95","+0.1","+0.29%","+0.22","+1.38","+0.56","+0.52","-0.63","+0.46","-0.27","-0.14","-0.79","+1.99","-1.72","-0.83","+2.14","","-0.09"
"1237",="1213","大飲","15.3","+0.1","+0.66%","+0.01","-0.07","-0.07","+0.13","0","+0.12","-0.51","+0.33","+0.17","+0.1","-0.1","+0.1","-0.05","","-0.13"
"520",="1215","卜蜂","64.3","-0.6","-0.92%","+0.42","+0.55","+0.51","+0.6","-0.37","+0.26","+0.32","-0.9","+0.74","+0.62","+1.26","-0.64","+2.14","","+0.74"
"801",="1216","統一","63.4","-0.6","-0.94%","+0.15","-0.15","+0.46","+2.02","-2.14","+1.06","+0.53","-0.47","+0.47","-0.07","-0.44","+0.44","+0.08","","+0.29"
"1238",="1217","愛之味","7.54","0","0%","0","+0.28","-1.12","+0.06","+0.88","+0.11","+0.04","-0.38","+0.08","-0.38","-0.45","+0.82","+0.12","+0.07",""
"1239",="1218","泰山","17.95","-0.1","-0.55%","+0.02","-0.28","0","+0.34","-0.45","+1.04","-0.01","-0.14","-1.23","+0.27","+0.55","+0.16","0","-0.39",""
"1007",="1219","福壽","17.8","0","0%","+0.05","+0.32","+0.16","+0.27","-0.76","+1.04","-0.11","+1.09","-2.08","+0.28","+0.34","-0.12","+0.18","-0.16",""
"247",="1220","台榮","10.3","0","0%","+0.12","+0.36","+0.7","-0.71","-0.65","+0.61","+0.87","+0.18","0","-0.49","-0.02","+0.37","+0.26","-0.31",""
"1054",="1225","福懋油","65","-0.8","-1.22%","+0.22","+1.04","-0.36","+1.29","-2","+1.81","+0.1","-0.8","-0.03","+0.11","-0.1","+2.33","-0.79","-0.16",""
"931",="1227","佳格","74.4","+0.1","+0.13%","+0.12","-0.59","-0.19","+0.42","+1.01","+1.82","+1.76","-0.45","-1.42","-1.09","+0.07","+0.57","-0.49","-0.72",""
"213",="1229","聯華","32.1","+0.2","+0.63%","+0.11","+0.32","+0.38","+0.31","-1.83","+1.34","+0.83","-0.62","+0.05","-0.29","+0.44","-0.42","+0.78","+0.13",""
