"","No","Name"
"1","1258","其祥-KY"
"2","1259","安心"
"3","1264","德麥"
"4","1333","恩得利"
"5","1336","台翰"
"6","1565","精華"
"7","1566","捷邦"
"8","1569","濱川"
"9","1570","力肯"
"10","1580","新麥"
"11","1584","精剛"
"12","1586","和勤"
"13","1591","駿吉-KY"
"14","1593","祺驊"
"15","1595","川寶"
"16","1597","直得"
"17","1599","宏佳騰"
"18","1742","台蠟"
"19","1752","南光"
"20","1777","生泰"
"21","1781","合世"
"22","1784","訊聯"
"23","1785","光洋科"
"24","1787","福盈科"
"25","1788","杏昌"
"26","1795","美時"
"27","1813","寶利徠"
"28","1815","富喬"
"29","2035","唐榮"
"30","2061","風青"
"31","2063","世鎧"
"32","2064","晉椿"
"33","2065","世豐"
"34","2066","世德"
"35","2067","嘉鋼"
"36","2221","大甲"
"37","2230","泰茂"
"38","2233","宇隆"
"39","2235","謚源"
"40","2596","綠意"
"41","2640","大車隊"
"42","2641","正德"
"43","2643","捷迅"
"44","2718","晶悅"
"45","2719","燦星旅"
"46","2724","富驛-KY"
"47","2726","雅茗-KY"
"48","2729","瓦城"
"49","2732","六角"
"50","2734","易飛網"
"51","2736","高野"
"52","2740","天蔥"
"53","2916","滿心"
"54","2924","東凌-KY"
"55","2926","誠品生活"
"56","2928","紅馬-KY"
"57","2937","集雅社"
"58","3064","泰偉"
"59","3066","李洲"
"60","3067","全域"
"61","3068","美磊"
"62","3071","協禧"
"63","3073","普格"
"64","3078","僑威"
"65","3081","聯亞"
"66","3083","網龍"
"67","3085","新零售"
"68","3086","華義"
"69","3088","艾訊"
"70","3089","遠昇"
"71","3092","鴻碩"
"72","3093","港建"
"73","3095","及成"
"74","3105","穩懋"
"75","3114","好德"
"76","3115","寶島極"
"77","3118","進階"
"78","3122","笙泉"
"79","3128","昇銳"
"80","3131","弘塑"
"81","3141","晶宏"
"82","3144","新揚科"
"83","3152","璟德"
"84","3162","精確"
"85","3163","波若威"
"86","3169","亞信"
"87","3171","新洲"
"88","3176","基亞"
"89","3188","鑫龍騰"
"90","3191","和進"
"91","3202","樺晟"
"92","3205","佰研"
"93","3206","志豐"
"94","3207","耀勝"
"95","3211","順達"
"96","3213","茂訊"
"97","3217","優群"
"98","3218","大學光"
"99","3221","台嘉碩"
"100","3224","三顧"
"101","3226","至寶電"
"102","3227","原相"
"103","3228","金麗科"
"104","3230","錦明"
"105","3232","昱捷"
"106","3234","光環"
"107","3236","千如"
"108","3252","海灣"
"109","3259","鑫創"
"110","3260","威剛"
"111","3264","欣銓"
"112","3265","台星科"
"113","3268","海德威"
"114","3272","東碩"
"115","3276","宇環"
"116","3284","太普高"
"117","3285","微端"
"118","3287","廣寰科"
"119","3288","點晶"
"120","3289","宜特"
"121","3290","東浦"
"122","3293","鈊象"
"123","3294","英濟"
"124","3297","杭特"
"125","3299","帛漢"
"126","3303","岱稜"
"127","3306","鼎天"
"128","3310","佳穎"
"129","3313","斐成"
"130","3317","尼克森"
"131","3322","建舜電"
"132","3323","加百裕"
"133","3324","雙鴻"
"134","3325","旭品"
"135","3332","幸康"
"136","3339","泰谷"
"137","3354","律勝"
"138","3360","尚立"
"139","3362","先進光"
"140","3363","上詮"
"141","3372","典範"
"142","3373","熱映"
"143","3374","精材"
"144","3379","彬台"
"145","3388","崇越電"
"146","3390","旭軟"
"147","3402","漢科"
"148","3426","台興"
"149","3428","光燿科"
"150","3431","長天"
"151","3434","哲固"
"152","3438","類比科"
"153","3441","聯一光"
"154","3444","利機"
"155","3452","益通"
"156","3455","由田"
"157","3465","祥業"
"158","3466","致振"
"159","3479","安勤"
"160","3483","力致"
"161","3484","崧騰"
"162","3489","森寶"
"163","3490","單井"
"164","3491","昇達科"
"165","3492","長盛"
"166","3498","陽程"
"167","3499","環天科"
"168","3508","位速"
"169","3511","矽瑪"
"170","3512","能緹"
"171","3516","亞帝歐"
"172","3520","振維"
"173","3521","鴻翊"
"174","3522","宏森"
"175","3523","迎輝"
"176","3526","凡甲"
"177","3527","聚積"
"178","3529","力旺"
"179","3531","先益"
"180","3537","堡達"
"181","3540","曜越"
"182","3541","西柏"
"183","3546","宇峻"
"184","3548","兆利"
"185","3551","世禾"
"186","3552","同致"
"187","3553","力積"
"188","3555","重鳥鵬"
"189","3556","禾瑞亞"
"190","3558","神準"
"191","3562","頂晶科"
"192","3563","牧德"
"193","3564","其陽"
"194","3567","逸昌"
"195","3570","大塚"
"196","3577","泓格"
"197","3580","友威科"
"198","3581","博磊"
"199","3587","閎康"
"200","3594","磐儀"
"201","3609","東林"
"202","3611","鼎翰"
"203","3615","安可"
"204","3623","富晶通"
"205","3624","光頡"
"206","3625","西勝"
"207","3628","盈正"
"208","3629","群富通"
"209","3630","新鉅科"
"210","3631","晟楠"
"211","3632","研勤"
"212","3642","駿熠電"
"213","3646","艾恩特"
"214","3652","精聯"
"215","3663","鑫科"
"216","3664","安瑞-KY"
"217","3666","光耀"
"218","3672","康聯訊"
"219","3675","德微"
"220","3680","家登"
"221","3684","榮昌"
"222","3685","元創精密"
"223","3687","歐買尬"
"224","3689","湧德"
"225","3691","碩禾"
"226","3693","營邦"
"227","3707","漢磊"
"228","4102","永日"
"229","4103","百略"
"230","4105","東洋"
"231","4107","邦特"
"232","4109","穆拉德加捷"
"233","4111","濟生"
"234","4113","聯上"
"235","4114","健喬"
"236","4116","明基醫"
"237","4120","友華"
"238","4121","優盛"
"239","4123","晟德"
"240","4126","太醫"
"241","4127","天良"
"242","4128","中天"
"243","4129","聯合"
"244","4130","健亞"
"245","4131","晶宇"
"246","4138","曜亞"
"247","4139","馬光-KY"
"248","4147","中裕"
"249","4152","台微體"
"250","4153","鈺緯"
"251","4154","康樂-KY"
"252","4157","太景*-KY"
"253","4160","創源"
"254","4161","聿新科"
"255","4162","智擎"
"256","4163","鐿鈦"
"257","4167","展旺"
"258","4168","醣聯"
"259","4171","瑞基"
"260","4173","久裕"
"261","4174","浩鼎"
"262","4175","杏一"
"263","4180","安成藥"
"264","4183","福永生技"
"265","4188","安克"
"266","4192","杏國"
"267","4198","環瑞醫"
"268","4205","中華食"
