"","No","Name"
"1","1101","台泥"
"2","1102","亞泥"
"3","1103","嘉泥"
"4","1104","環泥"
"5","1108","幸福"
"6","1109","信大"
"7","1110","東泥"
"8","1201","味全"
"9","1203","味王"
"10","1210","大成"
"11","1213","大飲"
"12","1215","卜蜂"
"13","1216","統一"
"14","1217","愛之味"
"15","1218","泰山"
"16","1219","福壽"
"17","1220","台榮"
"18","1225","福懋油"
"19","1227","佳格"
"20","1229","聯華"
"21","1231","聯華食"
"22","1232","大統益"
"23","1233","天仁"
"24","1234","黑松"
"25","1235","興泰"
"26","1236","宏亞"
"27","1262","綠悅-KY"
"28","1301","台塑"
"29","1303","南亞"
"30","1304","台聚"
"31","1305","華夏"
"32","1307","三芳"
"33","1308","亞聚"
"34","1309","台達化"
"35","1310","台苯"
"36","1312","國喬"
"37","1313","聯成"
"38","1314","中石化"
"39","1315","達新"
"40","1316","上曜"
"41","1319","東陽"
"42","1321","大洋"
"43","1323","永裕"
"44","1324","地球"
"45","1325","恆大"
"46","1326","台化"
"47","1337","再生-KY"
"48","1338","廣華-KY"
"49","1339","昭輝"
"50","1340","勝悅-KY"
"51","1402","遠東新"
"52","1409","新纖"
"53","1410","南染"
"54","1413","宏洲"
"55","1414","東和"
"56","1416","廣豐"
"57","1417","嘉裕"
"58","1418","東華"
"59","1419","新紡"
"60","1423","利華"
"61","1432","大魯閣"
"62","1434","福懋"
"63","1435","中福"
"64","1436","華友聯"
"65","1437","勤益控"
"66","1438","裕豐"
"67","1439","中和"
"68","1440","南紡"
"69","1441","大東"
"70","1442","名軒"
"71","1443","立益"
"72","1444","力麗"
"73","1445","大宇"
"74","1446","宏和"
"75","1447","力鵬"
"76","1449","佳和"
"77","1451","年興"
"78","1452","宏益"
"79","1453","大將"
"80","1454","台富"
"81","1455","集盛"
"82","1456","怡華"
"83","1457","宜進"
"84","1459","聯發"
"85","1460","宏遠"
"86","1463","強盛"
"87","1464","得力"
"88","1465","偉全"
"89","1466","聚隆"
"90","1467","南緯"
"91","1468","昶和"
"92","1469","理隆"
"93","1470","大統染"
"94","1471","首利"
"95","1472","三洋紡"
"96","1473","台南"
"97","1474","弘裕"
"98","1475","本盟"
"99","1476","儒鴻"
"100","1477","聚陽"
"101","1503","士電"
"102","1504","東元"
"103","1506","正道"
"104","1507","永大"
"105","1512","瑞利"
"106","1513","中興電"
"107","1514","亞力"
"108","1515","力山"
"109","1516","川飛"
"110","1517","利奇"
"111","1519","華城"
"112","1521","大億"
"113","1522","堤維西"
"114","1524","耿鼎"
"115","1525","江申"
"116","1526","日馳"
"117","1527","鑽全"
"118","1528","恩德"
"119","1529","樂士"
"120","1530","亞崴"
"121","1531","高林股"
"122","1532","勤美"
"123","1533","車王電"
"124","1535","中宇"
"125","1536","和大"
"126","1537","廣隆"
"127","1538","正峰新"
"128","1539","巨庭"
"129","1540","喬福"
"130","1541","錩泰"
"131","1558","伸興"
"132","1560","中砂"
"133","1568","倉佑"
"134","1582","信錦"
"135","1583","程泰"
"136","1589","永冠-KY"
"137","1590","亞德客-KY"
"138","1592","英瑞-KY"
"139","1598","岱宇"
"140","1603","華電"
"141","1604","聲寶"
"142","1605","華新"
"143","1608","華榮"
"144","1609","大亞"
"145","1611","中電"
"146","1612","宏泰"
"147","1614","三洋電"
"148","1615","大山"
"149","1616","億泰"
"150","1617","榮星"
"151","1618","合機"
"152","1626","艾美特-KY"
"153","1701","中化"
"154","1702","南僑"
"155","1704","榮化"
"156","1707","葡萄王"
"157","1708","東鹼"
"158","1709","和益"
"159","1710","東聯"
"160","1711","永光"
"161","1712","興農"
"162","1713","國化"
"163","1714","和桐"
"164","1715","萬洲"
"165","1717","長興"
"166","1718","中纖"
"167","1720","生達"
"168","1721","三晃"
"169","1722","台肥"
"170","1723","中碳"
"171","1724","台硝"
"172","1725","元禎"
"173","1726","永記"
"174","1727","中華化"
"175","1730","花仙子"
"176","1731","美吾華"
"177","1732","毛寶"
"178","1733","五鼎"
"179","1734","杏輝"
"180","1735","日勝化"
"181","1736","喬山"
"182","1737","臺鹽"
"183","1762","中化生"
"184","1773","勝一"
"185","1776","展宇"
"186","1783","和康生"
"187","1786","科妍"
"188","1789","神隆"
"189","1802","台玻"
"190","1805","寶徠"
"191","1806","冠軍"
"192","1808","潤隆"
"193","1809","中釉"
"194","1810","和成"
"195","1817","凱撒衛"
"196","1902","台紙"
"197","1903","士紙"
"198","1904","正隆"
"199","1905","華紙"
"200","1906","寶隆"
"201","1907","永豐餘"
"202","1909","榮成"
"203","2002","中鋼"
"204","2002","中鋼特"
"205","2006","東和鋼鐵"
"206","2007","燁興"
"207","2008","高興昌"
"208","2009","第一銅"
"209","2010","春源"
"210","2012","春雨"
"211","2013","中鋼構"
"212","2014","中鴻"
"213","2015","豐興"
"214","2017","官田鋼"
"215","2020","美亞"
"216","2022","聚亨"
"217","2023","燁輝"
"218","2024","志聯"
"219","2025","千興"
"220","2027","大成鋼"
"221","2028","威致"
"222","2029","盛餘"
"223","2030","彰源"
"224","2031","新光鋼"
"225","2032","新鋼"
"226","2033","佳大"
"227","2034","允強"
"228","2038","海光"
"229","2049","上銀"
"230","2059","川湖"
"231","2062","橋椿"
"232","2069","運錩"
"233","2101","南港"
"234","2102","泰豐"
"235","2103","台橡"
"236","2104","中橡"
"237","2105","正新"
"238","2106","建大"
"239","2107","厚生"
"240","2108","南帝"
"241","2109","華豐"
"242","2114","鑫永銓"
"243","2115","六暉-KY"
"244","2201","裕隆"
"245","2204","中華"
"246","2206","三陽工業"
"247","2207","和泰車"
"248","2208","台船"
"249","2227","裕日車"
"250","2228","劍麟"
"251","2231","為升"
"252","2236","百達-KY"
"253","2239","英利-KY"
"254","2301","光寶科"
"255","2302","麗正"
"256","2303","聯電"
"257","2305","全友"
"258","2308","台達電"
"259","2311","日月光"
"260","2312","金寶"
"261","2313","華通"
"262","2314","台揚"
"263","2316","楠梓電"
"264","2317","鴻海"
"265","2321","東訊"
"266","2323","中環"
"267","2324","仁寶"
"268","2325","矽品"
"269","2327","國巨"
"270","2328","廣宇"
"271","2329","華泰"
"272","2330","台積電"
"273","2331","精英"
"274","2332","友訊"
"275","2337","旺宏"
"276","2338","光罩"
"277","2340","光磊"
"278","2342","茂矽"
"279","2344","華邦電"
"280","2345","智邦"
"281","2347","聯強"
"282","2348","海悅"
"283","2349","錸德"
"284","2351","順德"
"285","2352","佳世達"
"286","2353","宏碁"
"287","2354","鴻準"
"288","2355","敬鵬"
"289","2356","英業達"
"290","2357","華碩"
"291","2358","廷鑫"
"292","2359","所羅門"
"293","2360","致茂"
"294","2362","藍天"
"295","2363","矽統"
"296","2364","倫飛"
"297","2365","昆盈"
"298","2367","燿華"
"299","2368","金像電"
"300","2369","菱生"
"301","2371","大同"
"302","2373","震旦行"
"303","2374","佳能"
"304","2375","智寶"
"305","2376","技嘉"
"306","2377","微星"
"307","2379","瑞昱"
"308","2380","虹光"
"309","2382","廣達"
"310","2383","台光電"
"311","2385","群光"
"312","2387","精元"
"313","2388","威盛"
"314","2390","云辰"
"315","2392","正崴"
"316","2393","億光"
"317","2395","研華"
"318","2397","友通"
"319","2399","映泰"
"320","2401","凌陽"
"321","2402","毅嘉"
"322","2404","漢唐"
"323","2405","浩鑫"
"324","2406","國碩"
"325","2408","南亞科"
"326","2409","友達"
"327","2412","中華電"
"328","2413","環科"
"329","2414","精技"
"330","2415","錩新"
"331","2417","圓剛"
"332","2419","仲琦"
"333","2420","新巨"
"334","2421","建準"
"335","2423","固緯"
"336","2424","隴華"
"337","2425","承啟"
"338","2426","鼎元"
"339","2427","三商電"
"340","2428","興勤"
"341","2429","銘旺科"
"342","2430","燦坤"
"343","2431","聯昌"
"344","2433","互盛電"
"345","2434","統懋"
"346","2436","偉詮電"
"347","2438","翔耀"
"348","2439","美律"
"349","2440","太空梭"
"350","2441","超豐"
"351","2442","新美齊"
"352","2443","新利虹"
"353","2444","友旺"
"354","2448","晶電"
"355","2449","京元電子"
"356","2450","神腦"
"357","2451","創見"
"358","2453","凌群"
"359","2454","聯發科"
"360","2455","全新"
"361","2456","奇力新"
"362","2457","飛宏"
"363","2458","義隆"
"364","2459","敦吉"
"365","2460","建通"
"366","2461","光群雷"
"367","2462","良得電"
"368","2464","盟立"
"369","2465","麗臺"
"370","2466","冠西電"
"371","2467","志聖"
"372","2468","華經"
"373","2471","資通"
"374","2472","立隆電"
"375","2474","可成"
"376","2475","華映"
"377","2476","鉅祥"
