,no,tProfit,ave(%),,,
1,6165,2.14,2.93,1,65.15%,19.74%
2,3406,1.69,3.32,1,,
3,2358,1.44,3.52,1,,
4,3532,1.41,2.44,1,,
5,2337,1.33,2.18,1,,
6,3229,1.29,5.15,1,,
7,1512,1.13,1.88,1,,
8,2371,1.06,3.2,1,,
9,3413,0.89,1.31,1,,
10,1805,0.88,3.25,1,,
11,2496,0.86,2.04,1,,
12,2028,0.78,1.35,1,,
13,4912,0.74,1.72,1,,
14,2014,0.73,2.08,1,,
15,1475,0.72,2.12,1,,
16,2614,0.71,1.31,1,,
17,2528,0.7,1.84,1,,
18,6456,0.66,1.3,1,,
19,4943,0.65,0.85,1,,
20,6142,0.64,0.94,1,,
21,2025,0.63,2.6,1,,
22,8112,0.6,0.73,1,,
23,3018,0.58,1.45,1,,
24,2348,0.57,3.15,1,,
25,1909,0.56,1.07,1,,
26,2342,0.56,1.76,1,,
27,4956,0.55,1.07,1,,
28,6451,0.55,1.35,1,,
29,2029,0.53,1.66,1,,
30,2344,0.53,1.4,1,,
31,6209,0.53,0.77,1,,
32,4968,0.52,1.17,1,,
33,1435,0.5,2.07,1,,
34,2547,0.5,0.91,1,,
35,2022,0.49,1.11,1,,
36,2338,0.49,0.77,1,,
37,5871,0.49,0.89,1,,
38,8201,0.49,1.44,1,,
39,2009,0.48,1.87,1,,
40,6230,0.48,1.49,1,,
41,2404,0.46,0.91,1,,
42,2727,0.46,1.02,1,,
43,6289,0.46,0.92,1,,
44,1906,0.45,1.46,1,,
45,2415,0.45,1.41,1,,
46,3296,0.45,1.18,1,,
47,2017,0.43,10.64,1,,
48,9157,0.43,2.85,1,,
49,1314,0.42,1.29,1,,
50,1439,0.41,3.76,1,,
51,2227,0.41,0.98,1,,
52,6141,0.41,0.61,1,,
53,2031,0.4,0.7,1,,
54,3049,0.4,1.3,1,,
55,4725,0.4,0.91,1,,
56,6205,0.4,0.81,1,,
57,1312,0.39,1.11,1,,
58,2375,0.39,0.79,1,,
59,2399,0.39,1,1,,
60,6131,0.39,0.54,1,,
61,1616,0.38,1.59,1,,
62,3031,0.38,0.7,1,,
63,1319,0.37,1.24,1,,
64,2331,0.37,1,1,,
65,2049,0.36,0.96,1,,
66,3002,0.36,0.77,1,,
67,3443,0.36,0.68,1,,
68,4994,0.36,1.24,1,,
69,1609,0.35,0.53,1,,
70,9941,0.35,0.58,1,,
71,2351,0.34,0.89,1,,
72,2475,0.34,2.01,1,,
73,2520,0.34,1.63,1,,
74,1463,0.33,0.7,1,,
75,2023,0.33,1.08,1,,
76,2601,0.33,1.23,1,,
77,3673,0.33,0.97,1,,
78,1443,0.32,2.01,1,,
79,1808,0.32,0.77,1,,
80,4737,0.32,0.55,1,,
81,3481,0.31,0.74,1,,
82,3515,0.31,0.71,1,,
83,5534,0.31,0.76,1,,
84,1316,0.3,1,1,,
85,1472,0.3,1.37,1,,
86,1710,0.3,0.64,1,,
87,3593,0.3,0.75,1,,
88,6108,0.3,0.38,1,,
89,2383,0.29,0.55,1,,
90,2474,0.29,0.73,1,,
91,2501,0.29,0.54,1,,
92,3011,0.29,1.26,1,,
93,8021,0.29,0.81,1,,
94,8341,0.29,0.77,1,,
95,8404,0.29,0.75,1,,
96,1309,0.28,0.85,1,,
97,1449,0.28,2.52,1,,
98,2069,0.28,0.68,1,,
99,2605,0.28,0.86,1,,
100,3231,0.28,0.51,1,,
101,4976,0.28,0.62,1,,
102,6283,0.28,0.5,1,,
103,1103,0.27,0.8,1,,
104,2606,0.27,0.65,1,,
105,5469,0.27,0.92,1,,
106,2313,0.26,0.55,1,,
107,2345,0.26,0.51,1,,
108,3027,0.26,1.39,1,,
109,3315,0.26,0.53,1,,
110,5285,0.26,0.46,1,,
111,9188,0.25,0.5,1,,
112,2748,0.24,1.6,1,,
113,2910,0.24,0.9,1,,
114,3008,0.24,0.67,1,,
115,3419,0.24,0.54,1,,
116,6120,0.24,0.5,1,,
117,8163,0.24,0.49,1,,
118,1229,0.23,0.44,1,,
119,1531,0.23,0.59,1,,
120,2332,0.23,0.76,1,,
121,2402,0.23,0.53,1,,
122,3037,0.23,0.49,1,,
123,3698,0.23,0.48,1,,
124,5305,0.23,0.44,1,,
125,6191,0.23,0.29,1,,
126,1313,0.22,0.61,1,,
127,1902,0.22,0.49,1,,
128,3653,0.22,0.42,1,,
129,2317,0.21,0.44,1,,
130,2439,0.21,0.77,1,,
131,6239,0.21,0.67,1,,
132,1310,0.2,0.95,1,,
133,1541,0.2,0.81,1,,
134,1605,0.2,0.64,1,,
135,1718,0.2,0.57,1,,
136,3533,0.2,0.58,1,,
137,3706,0.2,0.35,1,,
138,5521,0.2,0.56,1,,
139,1231,0.19,0.48,1,,
140,1456,0.19,0.9,1,,
141,1515,0.19,0.41,1,,
142,2441,0.19,0.33,1,,
143,2444,0.19,0.46,1,,
144,3050,0.19,0.62,1,,
145,6166,0.19,1.38,1,,
146,6201,0.19,0.55,1,,
147,1603,0.18,0.72,1,,
148,1907,0.18,0.54,1,,
149,2442,0.18,0.68,1,,
150,2457,0.18,0.63,1,,
151,2471,0.18,0.44,1,,
152,2908,0.18,0.32,1,,
153,3149,0.18,0.57,1,,
154,3167,0.18,0.51,1,,
155,3679,0.18,0.46,1,,
156,1604,0.17,0.3,1,,
